video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,number_of_words,list_of_words_separated_by_spaces
BethStelling1,38,41,0,22,38,661,1140,39,shewastellingmeshe'sonlyeatinglikethreehundredmorecaloriesadaytoaccommodatethelifeformgruntinsiderbywhichblowsmymindbecauseIconsumeatleastathousandmorecaloriesduringapregnancyscare
BethStelling1,55,56,0,41,55,1231,1650,39,infactIjustwentoutandgotanIUDnoSirnothingurinarytractinfectionit'sanintrauterinedeviceinitsbirthcontrollastfiveyearsgoesrightinyouruterussillytimealsouterussaiditagain
BethStelling1,78,81,0,56,78,1681,2340,51,soIwentinformyconsultationandladywaslikebanonthemeverythinglooksgoodonafunfactdidn'tknowifyouknewthisbutyouruterusisactuallytiltedbackwardsdidyouknowthatJoseokaysowhatyou'retellingmeisevenmyuterusislate
BethStelling1,95,97,0,81,95,2431,2850,29,we'regoodIbikeseverywhereinChicago'swhenIgotheretoLAmeaningIcanridemybikehereuntilIrealizethatyouguysIhatethat
BethStelling1,110,111,0,97,110,2911,3300,48,coderightthereeverysinglewinterinChicagoinonedaywasallbundledupforthecoldandIpulluptoastopsignandsomeoldmanMustabeenwaitingforthebusbecauseheleansovertomeandhegoesscaresmestar
BethStelling1,119,120,0,111,119,3331,3570,9,ablasthimLeno'slakeIamagirl
BethStelling1,122,124,0,120,122,3601,3660,4,andthenIrode
BethStelling1,127,129,0,124,127,3721,3810,12,sotherestoftheownersiswearingabraonthe
BethStelling1,139,145,0,129,139,3871,4170,31,myteamhasbeengoodformehelpmewasalittlebitawaywhichisnicebecauseIwasgettingrealtiredofpeoplejustgettinga****formy
BethStelling1,153,156,0,145,153,4351,4590,18,Ihadoriginallygaintheway%HESITATIONbecauseIwouldfindyouknowovertoCVSfordinner
BethStelling1,162,163,0,156,162,4681,4860,13,Ilovesweetsthinkchocolatecookiescandygotpeoplecallmesweetbut
BethStelling1,165,166,0,163,165,4891,4950,0,
BethStelling1,171,172,0,166,171,4981,5130,9,onepersondoesn'titwasmeIjusttoday
BethStelling1,179,180,0,172,179,5161,5370,22,whenyoucheckoutaCVSthere'sliketonsofladymagsupfrontthecheckoutthat'sanabbreviationforladymagazines
BethStelling1,188,189,0,180,188,5401,5640,23,matterwhattimeofyearitisyoualwaysseesomethinglikekeepchairbodbikiniratayearinthevoiceand
BethStelling1,197,199,0,189,197,5671,5910,22,Ijustlovethosehostesscupcakesrightoverthecounterhumslikehavingagainsettleforbeingatankiniwithsomeraw
BethStelling1,230,232,0,199,230,5971,6900,69,readingmyfeverrealitytelevisionshowtowatchisthebachelorIlikewatchingandwaitingtookit'stimetolikethefinaltwocrazybagwomenthatarevyingforthoseoneman'sloveonnationaltelevisionIjustsoIcanhearoneofthegirlssaysomethinglikenotwhereandamillionE.errorswhatIhaveIeverimaginefallinginlovethisharder
BethStelling1,238,240,1,232,238,6961,7140,7,andthisfilethis%HESITATIONnationaltop
BethStelling1,258,267,1,240,258,7201,7740,48,migratedtospendforeverwithbacksaysIwannabethereinnocentlyaloneHeygo%HESITATIONifIweretakingfreehelicopterrideshorsebackridingonthebeachinTahitiandhavingcandlelitdinnersonaprivateislandintheBahamasIgiveRolliepharmawithmybrother
CarmenLynch1,6,7,1,0,6,1,180,18,ItellmyboyfriendIwanttodieinhisarmsbecauseIthinkthatwouldberomantic
CarmenLynch1,9,11,1,7,9,211,270,3,butwe'renot
CarmenLynch1,14,25,1,11,14,331,420,7,sonowit'sjustgonnabeawkward
CarmenLynch1,28,29,1,25,28,751,840,12,yeahwhenIcallinandI'mlikerememberthatthingwe
CarmenLynch1,31,34,1,29,31,871,930,2,it'show
CarmenLynch1,36,47,1,34,36,1021,1080,4,canIcomeover
CarmenLynch1,50,52,1,47,50,1411,1500,7,Idon'tthinkmoneymakesyouhappy
CarmenLynch1,54,56,1,52,54,1561,1620,5,howmanymanylooksout
CarmenLynch1,59,66,1,56,59,1681,1770,8,inaMercedesonesoitwasn'tthat
CarmenLynch1,69,71,1,66,69,1981,2070,10,IwaslikeIcoulddothisallthetime
CarmenLynch1,72,73,1,71,72,2131,2160,3,berescindedfor
CarmenLynch1,75,78,1,73,75,2191,2250,1,you're
CarmenLynch1,82,83,1,78,82,2341,2460,11,soIthinkwe'renowwhichisnotabutall
CarmenLynch1,90,92,1,83,90,2491,2700,20,soI'mdatingsomeoneandhecomesoverthreeandI'mwearingmymouthI'mwiththereasonwhythat's
CarmenLynch1,99,104,1,92,99,2761,2970,12,doesn'trunoutthedoorsaysomethinglikeloggerandtheair
CarmenLynch1,108,118,1,104,108,3121,3240,10,soactiveinthebedroomIIstillwearamount
CarmenLynch1,128,130,1,118,128,3541,3840,25,Ilikethosereallymasculineguystotheguyswhoaren'tafraidofanythinglikethatamousemylivingroomflooronceothersamount
CarmenLynch1,131,133,1,130,131,3901,3930,0,
CarmenLynch1,136,140,1,133,136,3991,4080,11,andIwaslikethisisprobablynotgonnaworkout
CarmenLynch1,149,161,1,140,149,4201,4470,32,Ifeellikemyeyesarescarybecausethey'resofatyouknowtheyrunacrosstheroomandscarethehelloutofhereIfeellikeiftheywereslow
CarmenLynch1,165,170,1,161,165,4831,4950,12,weresowelltheywouldbescaryyounowyoujustrely
CarmenLynch1,173,176,1,170,173,5101,5190,4,onlygodhe'scoming
CarmenLynch1,184,185,1,176,184,5281,5520,31,onetimeIsawinIransofasteningscreamsoloudthatmyneighborcameoverthenextmorningandshewaslikeIthoughtsomebodywasgettingmurderedouthere
CarmenLynch1,188,198,1,185,188,5551,5640,7,andasIcanyouwaiteduntil
CarmenLynch1,204,210,1,198,204,5941,6120,0,
CarmenLynch1,214,215,1,210,214,6301,6420,0,
CarmenLynch1,217,218,1,215,217,6451,6510,0,
CarmenLynch1,221,225,1,218,221,6541,6630,0,
CarmenLynch1,236,245,1,225,236,6751,7080,0,
CarmenLynch1,249,251,1,245,249,7351,7470,0,
CarmenLynch1,253,258,1,251,253,7531,7590,0,
CarmenLynch1,261,264,1,258,261,7741,7830,0,
CarmenLynch1,268,275,1,264,268,7921,8040,0,
CarmenLynch1,285,289,2,275,285,8251,8550,0,
CarmenLynch1,291,296,2,289,291,8671,8730,0,
CarmenLynch1,299,309,2,296,299,8881,8970,0,
CarmenLynch1,311,311,1,309,311,9271,9330,0,
CarmenLynch1,313,314,1,311,313,9331,9390,0,
CarmenLynch1,317,319,2,314,317,9421,9510,0,
CristelaAlonza1,0,11,2,0,0,1,0,0,
CristelaAlonza1,18,21,2,11,18,331,540,5,yourguysdealIway
CristelaAlonza1,24,25,2,21,24,631,720,7,doischangemywaytothe
CristelaAlonza1,41,42,2,25,41,751,1230,31,I'minterestedinshapeandsohardandit'sallshapeworkoutclothesaresoisitlikeandmygoodnesswhatanumbergetmarriedinthemwirethesoles
CristelaAlonza1,48,49,2,42,48,1261,1440,11,Iwenttothisexpensiveworkoutstorecalledlululemonexactly
CristelaAlonza1,53,54,2,49,53,1471,1590,13,I'vefoundoutI'mtoofattofitintotheirworkoutclothes
CristelaAlonza1,58,59,2,54,58,1621,1740,12,losethirtypoundsbeforeitcanworkoutintheirstupidclub
CristelaAlonza1,66,67,2,59,66,1771,1980,23,onlythestorewithoutbuyinganythingsoIwentaroundIwasgettingverydesperateI'magainheadbandskeyringswhilelike
CristelaAlonza1,83,92,2,67,83,2011,2490,12,I'vefinallyfoundasportsbrathatkindofthingcleanadmit
CristelaAlonza1,94,98,2,92,94,2761,2820,5,squeezethemIneedsupport
CristelaAlonza1,104,105,2,98,104,2941,3120,15,ImeantalkaboutdaylaborersonLatinaunlessyouhateLatinosthanI'mIndian
CristelaAlonza1,108,109,2,105,108,3151,3240,10,andifyouhateIndiansontheteamyourracist
CristelaAlonza1,131,132,2,109,131,3271,3930,77,withahardcoupleyearsforLatinospastcoupleyearswecantalkaboutimmigrationtheyalwaystalkaboutwhatabigemigrationproblemwehaveyouknowwhenImighttruereallynoticethateverytimewetalkaboutimmigrationtheyalwaysshowpicturesofpeoplethatlooklikemeeverylasttimeIcheckedthereweretwocountriesthatbordertheUnitedStatesandIneverseeanyborderpatrollookingforillegalCanadiansand
CristelaAlonza1,136,137,2,132,136,3961,4080,13,younevergouptotheguyHeyyouwithahockeyJersey
CristelaAlonza1,139,140,2,137,139,4111,4170,4,listeningtoCelineDion
CristelaAlonza1,142,143,2,140,142,4201,4260,4,hellyourpaperstrouble
CristelaAlonza1,157,158,2,143,157,4291,4710,48,andIgetitpeoplewanttocometothiscountrywehaveaprettygoodherewehavesomanyluxuriesyouknowImeanwe'reatthepointwhereweactuallycareaboutwhatkindoflifearefoodhadbeforewekilleditinaid
CristelaAlonza1,173,175,2,158,173,4741,5190,48,yougotothegrocerystoretheywannatellyouhowandwiththebackstoryofeveryfoodyouknowallthismilkwashormonefreethisbeefwasagrassfedthischickenwascagefreeyouknowtheseanimalsandabetterchildhoodthanIdid
CristelaAlonza1,180,181,2,175,180,5251,5400,18,Iknowit'sapublicschoolIhadbarsonmywindowbutthischickinthiscage
CristelaAlonza1,187,189,2,181,187,5431,5610,11,leannwerethehobbiesthechickenaboutwhenitwasa
CristelaAlonza1,194,196,2,189,194,5671,5820,16,chicken'sdeliciousit'stwelvedollarsapoundbecauseitplayedthecelloandliketoserve
CristelaAlonza1,200,201,2,196,200,5881,6000,7,likeanamazingchickenwirewecasually
CristelaAlonza1,206,214,2,201,206,6031,6180,16,IhadachoicetoeatsomethingthathadaprivilegedlifescrewthatIdid
CristelaAlonza1,224,226,2,214,224,6421,6720,36,IrecentlyhadabirthdayandIrealizeguysandI'matthatagewheretheonlywayIcangetintoanightclubisbytellingthedoorguythatI'mlookingformyunderage
CristelaAlonza1,231,233,2,226,231,6781,6930,18,IrealizeIhavetopretendtolookforthegirltheentirenightonlyharassedupanywhere
CristelaAlonza1,235,236,2,233,235,6991,7050,2,herewould
CristelaAlonza2,13,14,2,0,13,1,390,28,IamfromabordertowncalledSanJuanrightnexttoMexico%HESITATIONthankyou%HESITATIONNDAroughneighborhoodarehighschoolmascotwasthecartelsso
CristelaAlonza2,16,18,2,14,16,421,480,5,Tuesdayweneverlosta
CristelaAlonza2,67,69,2,18,67,541,2010,115,we'rebeingfromTexasis%HESITATIONImeanhugeDallasCowboysfanItrustmeIknowit'sbeenhardit'salmosttwentyyearsandwewonourlastSuperbowlIIrealizedIfeellikeI'minarelationshipthatisn'tgoinganywherelikeIhavetohaveatalkwiththematthebeginningoftheseasonlikesowhatthehellarewedoingIGNyoupromisedmarryingthere'snorainnhisSuperbowlringyoucouldevengetintotheplayoffswedon'tknowwe'regonnagoIshowedupyouweren'ttherewherethehellareyouknowwhotheBengalsweretherewheretheI'msorryyoustartseeingother
CristelaAlonza2,87,88,2,69,87,2071,2610,61,aboutamonthnowthankyouit'sweirdyouknowtheycausemesomuchpainthatIjustfindmyselfonSundaysgettingdrunktoforgetthepainyouknowsometimesIdrinksomuchIrepeatthesamequestionoverandoveragainIsoundlikeadrunkDoratheexploreryouknowdoyouknowwheremyhouse
CristelaAlonza2,90,91,2,88,90,2641,2700,3,yeahIhave
CristelaAlonza2,93,100,2,91,93,2731,2790,4,Ineedaman
CristelaAlonza2,109,111,2,100,109,3001,3270,24,IdrinkalotforobviousreasonsI'mCatholic%HESITATIONcntyduotheythinkthathavingagymmembershipit'slikeyeahwebelong
CristelaAlonza2,133,136,2,111,133,3331,3990,64,IgrewupinakindofpoorneighborhoodtheonlywayyoucouldtellsomeoneinmyfatlikeneighborhoodhadmoneygoingtotheirhouseandtheywouldhaveawholesetofencyclopediasyouallowhallallIknewwhatIwasdoinggoodIdidn'tknowweweredoinglikeababyandthehe'sgotthatcutelittleboy
CristelaAlonza2,152,153,2,136,152,4081,4560,58,nobigemployerhavingdebtthat'spartoflifethoughpartofbeinganadultyouguyseverwanttofindoutwhichoneofyourfriendsdoesn'thaveanydebthere'saneasytestwaittoolongliketheircellphoneringsbecausepeopledon'thaveanydebtthey'retheonlyonesthatwillanswereveryphone
CristelaAlonza2,158,160,2,153,158,4591,4740,13,lookingacallerIDfirstthey'renotscaredofanyoneIamresponsible
CristelaAlonza2,166,167,2,160,166,4801,4980,23,peopleontheotherhandwejudgethatcallbycallingherealthoughyoudoingabookonnotgoingtogetthat
CristelaAlonza2,173,174,2,167,173,5011,5190,17,themorebrokeyouarethemoreyoulapwhensomeonetriestogettheirmoneylike
CristelaAlonza2,175,176,2,174,175,5221,5250,0,
CristelaAlonza2,189,190,2,176,189,5281,5670,40,callerIDwasthebestthingtohappentopoorpeopleinmyfamilygotcallerIDmymomstoppedansweringeveryphonecallIwassogladIwasneverkidnappedasthatwomanwouldhaveneverpickedup
CristelaAlonza2,193,197,2,190,193,5701,5790,10,theycouldbethekidnappersyesbutitcouldbe
CristelaAlonza2,204,208,2,197,204,5911,6120,19,therewedosaythatlikemyfavoritekidnappingmovieofalltimeistakenIlovethatmovie
